Crop,Disease,Symptoms,Causes,Treatment,Prevention,Source
Apple,Apple scab,Olive-green to brown velvety spots on young leaves; lesions may enlarge and merge; infected leaves can deform and fall; fruit develops dark scabby/corky lesions and may crack or become misshapen.,"Fungus Venturia inaequalis. Spores from infected fallen leaves spread mainly by rain splash; cool, wet spring conditions favor infection.","Remove infected/fallen leaves and prune to improve air movement. Use a locally registered fungicide program when disease pressure warrants it, following the product label and local agricultural guidance.",Plant resistant cultivars where available; destroy or accelerate decomposition of fallen leaves; prune for an open canopy; avoid overhead irrigation; monitor wet periods and begin protection early.,Extension.org – Apple Scab | https://apples.extension.org/apple-scab/
Apple,Black rot,Frog-eye leaf spots with tan centers and dark margins; sunken/cankered areas on limbs; fruit develops brown circular rot that can become black and mummified.,"Fungus Botryosphaeria obtusa (synonyms used in older literature include Physalospora obtusa/Sphaeropsis malorum). Dead wood, cankers and mummified fruit can provide inoculum.",Prune and remove dead/cankered wood and mummified fruit; remove infected material from the orchard. Fungicides may be used in an integrated program where locally registered and appropriate.,Maintain orchard sanitation; remove dead wood and fruit mummies; protect trees from wounds; prune for good airflow; avoid leaving dead branches in the canopy.,American Phytopathological Society (APS) – Plant Disease research on Botryosphaeria obtusa | https://www.apsnet.org/publications/plantdisease/backissues/Documents/1990Abstracts/PD_74_1029.htm
Apple,Cedar apple rust,Bright orange/yellow spots on apple leaves; orange lesions may form on fruit; small spore-producing structures can develop on the underside of leaves.,Fungus Gymnosporangium juniperi-virginianae. It requires both apple and a susceptible juniper/cedar host to complete its life cycle; wet spring weather supports infection.,Use a fungicide program timed before infection when locally registered and recommended. Remove nearby susceptible alternate hosts where practical and maintain tree vigor and an open canopy.,Choose resistant cultivars; separate apple plantings from susceptible junipers where feasible; prune for airflow; monitor wet spring periods and follow local disease-warning guidance.,Extension.org – Cedar-Apple Rust | https://apples.extension.org/cedar-apple-rust/
Potato,Early blight,"Round brown leaf spots, often with concentric target-like rings and yellow tissue around them; lower leaves are affected first; severe infection causes defoliation; tubers can develop dark sunken lesions with corky tissue.","Mainly Alternaria solani; Alternaria tomatophila can also cause early blight on solanaceous crops. Warm, humid/wet conditions and infected plant debris favor disease.",Remove heavily infected tissue when practical; use disease-management fungicides only when warranted and locally registered; follow label directions and rotate fungicide modes of action to reduce resistance risk.,Use disease-free planting material; rotate away from potato/tomato hosts; remove or bury infected crop debris; maintain balanced fertility; reduce leaf wetness and improve airflow.,University of Minnesota Extension – Early blight in tomato and potato | https://extension.umn.edu/disease-management/early-blight-tomato-and-potato
Potato,Late blight,Large irregular dark olive/brown lesions on leaves that are not limited by veins; leaves and stems can rapidly brown and collapse in wet weather; white growth may appear under humid conditions; tubers develop irregular brown/purple lesions and internal brown rot.,"Oomycete Phytophthora infestans. Cool-to-moderate, wet and humid conditions strongly favor disease development and rapid spread.","Start protection promptly when risk is high; use fungicides specifically registered for late blight in the crop and area, following local recommendations and resistance-management guidance. Remove/destroy infected volunteers and crop residues where appropriate.",Plant certified healthy seed; use resistant/tolerant varieties where available; scout frequently; avoid prolonged leaf wetness and unnecessary overhead irrigation; destroy volunteer potatoes and manage cull piles.,University of Minnesota Extension – Late blight of tomato and potato | https://extension.umn.edu/disease-management/late-blight
Rice,Blast,"White/gray-green lesions with dark margins that become elongated or spindle/diamond-shaped with gray centers and brown/necrotic borders; severe leaf blast can kill leaves, while neck/node infection can cause panicles to fall and produce few or no grains.","Fungus Magnaporthe oryzae. Low soil moisture, prolonged rain/dew and cooler conditions can favor disease; spores spread the disease.","Use resistant varieties as the primary control. Where locally recommended, apply an appropriate rice blast fungicide at the correct growth stage according to the product label and local extension guidance.",Grow resistant varieties; use balanced fertilizer and avoid excessive nitrogen; manage water and field conditions; use clean seed and scout during vulnerable growth stages.,International Rice Research Institute (IRRI) Rice Knowledge Bank – Blast | https://www.knowledgebank.irri.org/training/fact-sheets/pest-management/diseases/item/blast-leaf-collar
Rice,Leaf smut,"Small, slightly raised black spots or pustules, often rectangular, mainly on leaves; numerous lesions can darken leaves and severe infection may kill leaf tips.",Fungus Entyloma oryzae. Airborne spores spread the disease; the pathogen can survive in old crop debris. Excess nitrogen can favor the disease.,Usually no specific fungicide treatment is recommended because the disease is generally minor. Manage crop nutrition and sanitation; seek local extension advice if severe.,Avoid excessive nitrogen; use balanced fertility; remove or incorporate infected crop debris; use healthy seed and monitor fields late in the season.,"Texas A&M AgriLife Extension – Texas Plant Disease Handbook, Rice | https://plantdiseasehandbook.tamu.edu/food-crops/cereal-crops/rice/"
Rice,Narrow brown spot,"Long, narrow light-to-dark brown linear lesions running parallel to leaf veins; lesions can join into necrotic areas; sheath lesions may form a net-like pattern; severe disease can cause premature leaf death, early ripening and lodging.",Fungus Sphaerulina oryzina (synonyms include Cercospora janseana/Cercospora oryzae). Disease is favored by potassium deficiency and commonly develops from heading to maturity.,"Correct nutrient imbalance, especially potassium deficiency. Where disease risk is high, a locally registered fungicide such as propiconazole may be recommended at booting-to-heading stages by local authorities.",Use resistant/tolerant varieties where available; maintain balanced nutrition with adequate potassium; control weeds and volunteer rice; keep fields clean and scout from panicle initiation onward.,IRRI Rice Knowledge Bank – Narrow brown spot | https://www.knowledgebank.irri.org/training/fact-sheets/pest-management/diseases/item/narrow-brown-spot
Rice,Sheath blight,"Oval/elliptical greenish-gray lesions on leaf sheaths near the water or soil line; lesions expand upward and to leaves, becoming gray-white with brown margins; leaves dry and die and young tillers may be destroyed.","Fungus Rhizoctonia solani. High temperature, high humidity, excessive nitrogen, dense planting and a dense canopy favor disease development.","Improve crop spacing, nutrition and water management. Where economically justified and locally registered, apply an appropriate rice fungicide according to local disease thresholds and label instructions.",Avoid excessive nitrogen; use reasonable plant density; control weeds; improve canopy airflow; drain fields appropriately where recommended; remove or manage infected residues.,IRRI Rice Knowledge Bank – Sheath blight | https://www.knowledgebank.irri.org/training/fact-sheets/pest-management/diseases/item/sheath-blight
Rice,Tungro,Yellow to orange-yellow leaf discoloration beginning at leaf tips and extending downward; mottling/striping; stunting; reduced tillers; delayed flowering; small or poorly exserted panicles; increased sterile or partially filled grains.,"A disease caused by a combination of two rice tungro viruses and transmitted mainly by green leafhoppers. Infected rice, volunteer plants and infected stubble can act as virus sources.","There is no cure once a plant is infected. Management focuses on preventing spread: use resistant varieties, manage planting time and leafhopper pressure, and remove/plow under infected stubble and volunteer rice.",Use tungro- or leafhopper-resistant varieties; practice synchronized planting; avoid late planting where tungro pressure is high; manage volunteer rice and infected stubble; monitor green leafhoppers.,IRRI Rice Knowledge Bank – Tungro | https://www.knowledgebank.irri.org/training/fact-sheets/pest-management/diseases/item/tungro
Tomato,Early blight,"Dark brown/black leaf spots, often with concentric rings and yellow tissue around them; older/lower leaves are affected first; stems can develop dark lesions; fruit can develop black leathery spots near the stem.","Mainly Alternaria solani, with Alternaria tomatophila also capable of causing early blight. Warm, wet weather, high humidity and infected debris favor disease.",Remove affected leaves when practical; use appropriate locally registered fungicides when disease pressure warrants treatment; follow label directions and resistance-management guidance.,Use pathogen-free seed/transplants; rotate crops; remove infected debris; mulch to reduce soil splash; keep foliage dry when possible; improve spacing and airflow; use resistant/tolerant cultivars where available.,University of Minnesota Extension – Early blight in tomato and potato | https://extension.umn.edu/disease-management/early-blight-tomato-and-potato
Tomato,Late blight,"Large irregular dark brown/olive lesions with green-gray margins; lesions are not restricted by major veins; stems and petioles may become infected; fruit develops firm brown lesions, especially under cool, wet conditions.","Oomycete Phytophthora infestans. Cool, wet and humid conditions favor rapid infection and spread.","There is no reliable cure for established severe late blight. Remove/destroy infected plants when appropriate and use a locally registered late-blight fungicide preventively or at the earliest warning stage, following label and resistance-management guidance.",Scout frequently; use resistant/tolerant varieties where available; avoid overhead irrigation and prolonged leaf wetness; remove infected debris and volunteer potato/tomato plants; follow local late-blight forecasts.,University of Minnesota Extension – Late blight of tomato and potato | https://extension.umn.edu/disease-management/late-blight
Tomato,Tomato mosaic virus,"Mottled light- and dark-green leaves; leaves may curl, become narrow, distorted or reduced in size; plants may be stunted; fruit can ripen unevenly and show discoloration or internal browning depending on virus/host conditions.","Tomato mosaic virus (ToMV), a plant virus that can spread mechanically through infected plants, contaminated hands, tools and plant material. Similar symptoms can be caused by other tomato viruses, so laboratory confirmation may be needed.",No chemical cure exists for an infected plant. Remove and destroy symptomatic plants and reduce mechanical spread; use resistant varieties where available and sanitize tools/hands.,Use certified disease-free seed/transplants; select ToMV-resistant varieties; sanitize tools; wash hands before handling plants; remove infected plants and avoid moving contaminated plant material between plants.,University of Minnesota Extension – Tomato viruses | https://extension.umn.edu/disease-management/tomato-viruses
